date,price
9/15/2015,506.1005635
9/16/2015,493.6556405
9/17/2015,500.0619051
9/18/2015,513.2352657
9/19/2015,513.05235
9/20/2015,513.5553649
9/21/2015,521.1908168
9/22/2015,521.5108156
9/23/2015,518.9049943
9/24/2015,521.4651017
9/25/2015,520.4593759
9/26/2015,519.9564981
9/27/2015,515.6587731
9/28/2015,510.9487239
9/29/2015,512.8237036
9/30/2015,509.2108126
10/1/2015,513.05235
10/2/2015,517.9906078
10/3/2015,522.9736163
10/4/2015,531.3374108
10/5/2015,528.366974
10/6/2015,537.0031521
10/7/2015,537.0031521
10/8/2015,539.8812461
10/9/2015,540.5664603
10/10/2015,543.626868
10/11/2015,545.0427584
10/12/2015,545.545153
10/13/2015,542.0281916
10/14/2015,543.0787612
10/15/2015,546.4585737
10/16/2015,544.1749635
10/17/2015,544.0379407
10/18/2015,539.8812461
10/19/2015,541.3886941
10/20/2015,540.7948612
10/21/2015,543.4898423
10/22/2015,549.426976
10/23/2015,554.3583679
10/24/2015,554.9062449
10/25/2015,557.8280695
10/26/2015,555.5454208
10/27/2015,554.5866513
10/28/2015,558.9693223
10/29/2015,558.9236731
10/30/2015,557.9650223
10/31/2015,558.9693223
11/1/2015,559.3345132
11/2/2015,558.8323745
11/3/2015,567.5500272
11/4/2015,567.8238357
11/5/2015,567.8694702
11/6/2015,566.4091295
11/7/2015,565.1312684
11/8/2015,598.8839099
11/9/2015,597.8810239
11/10/2015,600.3881748
11/11/2015,605.903156
11/12/2015,611.5538096
